"local_id","local_nombre","comuna_nombre","localidad_nombre","local_direccion","funcionamiento_hora_apertura","funcionamiento_hora_cierre","local_telefono","local_lat","local_lng","funcionamiento_dia","fk_region","fk_comuna","fk_localidad"}
{"4460","HOSPITAL DOCTOR MARIO SANCHEZ LA CALERA","LA CALERA","LA CALERA","CARRERA Nº 1603, LA CALERA","08:00:00","17:00:00","+56332293190","-32.7927080648839","-71.2047707686061","viernes","6","56","12"}
{"4462","DEL DOCTOR SIMI","COLINA","COLINA","INMACULADA CONCEPCIóN N° 212","09:00:00","21:00:00","+56","-33.204236","-70.677328","viernes","7","87","106"}
{"4464","FARMACIA DR. SIMI","LONGAVI","LONGAVI","1 ORIENTE Nº315 LONGAVÍ77983309","09:00:00","21:00:00","+5677983309","","","viernes","9","179","198"}
{"4465","CRUZ VERDE","ESTACION CENTRAL","ESTACION CENTRAL","AVENIDA LIBERTADOR BERNARDO O'HIGGINS N° 3470","08:30:00","22:00:00","+56","-33.4520328","-70.68241220000004","viernes","7","92","111"}
{"4467","MAS VIDA Y SALUD","HUALQUI","HUALQUI","SANTA LAURA 356 LOCAL 1","10:30:00","22:00:00","+564128443334","-36.94964  ","-72.93041700000003","viernes","10","216","235"}
{"4468","SALCOBRAND","ÑUÑOA","ÑUÑOA","HAMBURGO 671 LOCAL 1","09:00:00","22:00:00","+5602224223300","-33.4482699530571","-70.5766886423279","viernes","7","110","129"}
{"4470","CRUZ VERDE","ÑUÑOA","ÑUÑOA","AVENIDA IRARRAZAVAL 2401, LOCAL 13","08:30:00","22:00:00","+5602226944000","-33.4540843","-70.60615239999998","viernes","7","110","129"}
{"4471","VITAUD","LO PRADO","LO PRADO","AVENIDA SAN PABLO 6600, LOCAL 16","09:00:00","21:00:00","+560242694255","-33.4445215","-70.72831329999997","viernes","7","105","124"}
{"4472","FARMACIA ACEVEDO","ANTOFAGASTA","ANTOFAGASTA NORTE","PEDRO AGUIRRE CERDA Nº 8251, LOCAL 24","09:00:00","21:00:00","+5655","-23.592517131389272","-70.39022796693422","viernes","3","12","392"}
{"4473","FARMACIA MÁS SALUD","CURICO","CURICO CENTRO","AVENIDA SAN MARTÍN Nº49 CURICÓ","09:00:00","23:00:00","+56665394","","","viernes","9","174","193"}
{"4476","FARMACIA AHUMADA","TALCAHUANO","AUTOPISTA-COLON","AV. JORGE ALESSANDRI 3177. L 6 BOULEVARD","09:00:00","21:00:00","+56410226313678","-36.79086440158474","-73.06790185668336","viernes","10","244","372"}
{"4477","FARMACIA AHUMADA","CONCEPCION","PEDRO DE VALDIVIA","AV. PEDRO DE VALDIVIA 904","09:00:00","22:00:00","+560","-36.844799","-73.052546","viernes","10","210","369"}
{"4479","INSTITUTO DE SEGURIDAD DEL TRABAJO","SAN ANTONIO","SAN ANTONIO","INDEPENDENCIA Nº 1060,SAN ANTONIO","08:30:00","18:00:00","+5635283115","-33.5907137522558","-71.6048462292633","viernes","6","73","19"}
{"4480","SALCOBRAND","TALCAHUANO","TALCAHUANO-HUALPEN CENTRO","AV. J. ALESSANDRI 3177 L-BT 113-117","09:00:00","21:00:00","+560","-36.791414283786175","-73.06757999160158","viernes","10","244","263"}
{"4482","FARMACIA ECOFARMA","TALCA","TALCA PERIMETRAL","7 NORTE Nº1218 5 Y 6 ORIENTE TALCA","10:00:00","21:30:00","+560993460353","","","viernes","9","194","417"}
{"4485","TU FARMACIA","COLINA","COLINA","CARRETERA GENERAL SAN MARTíN 0331","10:00:00","21:00:00","+56992952532","-33.2071502","-70.67782720000002","viernes","7","87","106"}
{"4489","FARMAC IA TRI-O FARMA","IQUIQUE","IQUIQUE","ARTURO FERNANDEZ 1371 , IQUIQUE","10:00:00","21:00:00","+56572715482","-20.2211814","-70.1444616","viernes","2","9","65"}
{"4490","CRUZ VERDE","CASTRO","CASTRO","ELEUTERIO RAMíREZ Nº 240,LOCALES 106 Y 107","09:30:00","21:00:00","+56","-42.4793375","-73.76143309999998","viernes","13","296","315"}
{"4494","FARMACIA PROSALUD","ANTOFAGASTA","ANTOFAGASTA CENTRO","SIMON BOLIVAR Nº 598, ANTOFAGASTA, CHILE","09:00:00","21:00:00","+56","-23.647267991414314","-70.39495447486877","viernes","3","12","68"}
